idx	categoria	marca	nome	pasta_destino
13	climatizacao	Britânia	Climatizador de Ar Britânia BCL05A	public/produtos/climatizador-de-ar-britania-bcl05a-13/
14	climatizacao	Philco	Climatizador de Ar Philco PCL05A	public/produtos/climatizador-de-ar-philco-pcl05a-14/
15	climatizacao	Britânia	Aquecedor Britânia AB1100N	public/produtos/aquecedor-britania-ab1100n-15/
16	climatizacao	Elgin	Ventilador de Mesa Elgin Breeze Air	public/produtos/ventilador-de-mesa-elgin-breeze-air-16/
17	climatizacao	Britânia	Ventilador de Mesa Britânia Super Turbo BVT405	public/produtos/ventilador-de-mesa-britania-super-turbo-bvt405-17/
18	climatizacao	Mondial	Ventilador de Mesa Mondial Super Power VSP-40-B	public/produtos/ventilador-de-mesa-mondial-super-power-vsp-40-b-18/
19	climatizacao	Mondial	Ventilador de Mesa Mondial Super Turbo VTX-40-8P	public/produtos/ventilador-de-mesa-mondial-super-turbo-vtx-40-8p-19/
20	climatizacao	Philco	Ventilador de Mesa Philco PVT402	public/produtos/ventilador-de-mesa-philco-pvt402-20/
21	climatizacao	Wap	Ventilador de Mesa Wap Flow Turbo	public/produtos/ventilador-de-mesa-wap-flow-turbo-21/
22	climatizacao	Mondial	Ventilador de Coluna Mondial Super Turbo VTX-40C-8P	public/produtos/ventilador-de-coluna-mondial-super-turbo-vtx-40c-8p-22/
23	climatizacao	Ventisol	Ventilador de Parede Ventisol Premium 50cm	public/produtos/ventilador-de-parede-ventisol-premium-50cm-23/
24	climatizacao	Ventisol	Ventilador de Parede Ventisol Premium 60cm	public/produtos/ventilador-de-parede-ventisol-premium-60cm-24/
25	ferramentas	Bosch	Esmerilhadeira Bosch GWS 700	public/produtos/esmerilhadeira-bosch-gws-700-25/
26	ferramentas	Intelbras	Fechadura Digital Intelbras FR221V	public/produtos/fechadura-digital-intelbras-fr221v-26/
27	ferramentas	Elsys	Fechadura Digital Elsys Pop DS1100V	public/produtos/fechadura-digital-elsys-pop-ds1100v-27/
28	ferramentas	Titanium	Parafusadeira Titanium 12V 7743	public/produtos/parafusadeira-titanium-12v-7743-28/
29	ferramentas	Vonder	Parafusadeira Vonder 12V PFV012I	public/produtos/parafusadeira-vonder-12v-pfv012i-29/
30	ferramentas	Tramontina	Kit de Ferramentas Tramontina 3 Peças 43408195	public/produtos/kit-de-ferramentas-tramontina-3-pecas-43408195-30/
31	ferramentas	Tramontina	Kit de Ferramentas Tramontina 5 Peças 43408505	public/produtos/kit-de-ferramentas-tramontina-5-pecas-43408505-31/
32	ferramentas	Tramontina	Kit de Ferramentas Tramontina 5 Peças 43408502	public/produtos/kit-de-ferramentas-tramontina-5-pecas-43408502-32/
33	ferramentas	Tramontina	Kit de Ferramentas Tramontina 5 Peças 43408142	public/produtos/kit-de-ferramentas-tramontina-5-pecas-43408142-33/
34	casa-decoracao	Tramontina	Lixeira Tramontina Inox 5L	public/produtos/lixeira-tramontina-inox-5l-34/
35	casa-decoracao	Stanley	Copo Stanley Beer Tumbler Happy Hour 384ml	public/produtos/copo-stanley-beer-tumbler-happy-hour-384ml-35/
36	casa-decoracao	Stanley	Copo Stanley Pilsner Glass Happy Hour 444ml	public/produtos/copo-stanley-pilsner-glass-happy-hour-444ml-36/
37	casa-decoracao	Stanley	Taça Térmica Cocktail Glass Stanley 414ml	public/produtos/taca-termica-cocktail-glass-stanley-414ml-37/
38	casa-decoracao	Tramontina	Kit Tramontina Churrasco 4 Peças	public/produtos/kit-tramontina-churrasco-4-pecas-38/
